Segment,carrier id,price,origin,dest,pickup time,delivery time,source?,target?,distance_to_target
A-B,1,18,A,B,8:00:00,8:30:00,,,51
A-C,2,15,A,C,8:00:00,8:30:00,,,50
A-C,3,21,A,C,8:30:00,9:00:00,,,50
A-C-E-D,4,80,A,D,9:30:00,10:00:00,,,0
A-G-F,5,46,A,F,8:00:00,8:30:00,,,45
C-E,6,5,C,E,9:30:00,10:00:00,,,46
C-E,7,7,C,E,9:30:00,10:00:00,,,46
C-E-I,8,18,C,I,9:30:00,10:00:00,,,35
F-I-J,9,15,F,J,9:30:00,10:00:00,,,17
E-I,10,10,E,I,11:00:00,11:30:00,,,35
I-K-D,11,18,I,D,12:00:00,12:30:00,,,0
J-D,12,7,J,D,12:00:00,12:30:00,,,0
